term,event,category,raw_date,date,end_date
Fall 2026,Advance Registration (at or after assigned start time),Registration,March 23 - August 18,2026-03-23,2026-08-18
Summer A 2026,Advanced Registration (at or after assigned start time),Registration,March 23 - May 7,2026-03-23,2026-05-07
Summer B 2026,Advance Registration (at or after assigned start time),Registration,March 23 - June 25,2026-03-23,2026-06-25
Summer C 2026,Advanced Registration (at or after assigned start time),Registration,March 23 - May 7,2026-03-23,2026-05-07
Summer A 2026,Regular Registration ($100 late fee after 11:59 pm deadline),Registration,May 8,2026-05-08,2026-05-08
Summer C 2026,Regular Registration ($100 late fee after 11:59 pm deadline),Registration,May 8,2026-05-08,2026-05-08
Summer A 2026,Classes Begin,Academic,May 11,2026-05-11,2026-05-11
Summer A 2026,Drop/Add (at or after assigned start time),Registration,May 11 - May 12,2026-05-11,2026-05-12
Summer A 2026,Late Registration,Registration,May 11 - May 12,2026-05-11,2026-05-12
Summer A 2026,Non-Degree Registration (at or after assigned start time),Registration,May 11 - May 12,2026-05-11,2026-05-12
Summer A 2026,UF (EEP) and State Employee Registration,Registration,May 11 - May 12,2026-05-11,2026-05-12
Summer C 2026,Classes Begin,Academic,May 11,2026-05-11,2026-05-11
Summer C 2026,Drop/Add (at or after assigned start time),Registration,May 11 - May 12,2026-05-11,2026-05-12
Summer C 2026,Late Registration,Registration,May 11 - May 12,2026-05-11,2026-05-12
Summer C 2026,Non-Degree Registration (at or after assigned start time),Registration,May 11 - May 12,2026-05-11,2026-05-12
Summer C 2026,UF (EEP) and State Employee Registration,Registration,May 11 - May 12,2026-05-11,2026-05-12
Summer A 2026,Withdrawal from All Courses with No Fee Liability,Financial,May 12,2026-05-12,2026-05-12
Summer C 2026,Withdrawal from All Courses with No Fee Liability,Financial,May 12,2026-05-12,2026-05-12
Summer A 2026,Degree Applications,Academic,May 13,2026-05-13,2026-05-13
Summer A 2026,S/U Grade Option,Registration,May 20,2026-05-20,2026-05-20
Summer A 2026,Withdrawal with 25% Refund (W assigned to all courses.),Financial,May 20,2026-05-20,2026-05-20
Summer A 2026,Fee Payments (University Bursar),Financial,May 22 (3:30 pm),2026-05-22,2026-05-22
Summer A 2026,Residency Reclassifications,Academic,May 22,2026-05-22,2026-05-22
Summer C 2026,Fee Payments (University Bursar),Financial,May 22 (3:30 pm),2026-05-22,2026-05-22
Summer C 2026,Residency Reclassifications,Academic,May 22,2026-05-22,2026-05-22
Summer C 2026,S/U Grade Option,Registration,May 29,2026-05-29,2026-05-29
Summer C 2026,Withdrawal with 25% Refund (W assigned to all courses.),Financial,May 29,2026-05-29,2026-05-29
Summer A 2026,Faculty Course Evaluation Period (Dates can vary by course. Log on to GatorEvals to verify.),Academic,June 5 - 18,2026-06-05,2026-06-18
Summer A 2026,Honors Theses due to College Advising Offices,Academic,June 10,2026-06-10,2026-06-10
Summer A 2026,Drop Deadline (W assigned to individual course(s). Drops of individual courses must be approved by the student's college.),Registration,June 12,2026-06-12,2026-06-12
Summer A 2026,Withdrawal Deadline (W assigned to all courses.),Academic,June 12,2026-06-12,2026-06-12
Summer A 2026,Drop or Add a Course after the Drop Deadline (Students must petition their college with appropriate documentation for approval to drop or add.),Registration,June 13 - 18,2026-06-13,2026-06-18
Summer A 2026,Withdraw from All Courses after the Withdrawal Deadline (Students must petition their college with appropriate documentation for approval to withdraw from all courses.),Academic,June 13 - 18,2026-06-13,2026-06-18
Summer A 2026,Classes End,Academic,June 18,2026-06-18,2026-06-18
Summer A 2026,Degree Status Available (on ONE.UF),Academic,June 24,2026-06-24,2026-06-24
Summer A 2026,"Final Grades Available (transcript view, on ONE.UF)",Academic,June 24,2026-06-24,2026-06-24
Summer A 2026,Faculty Course Evaluations Available to Instructors (on GatorEvals),Academic,June 25,2026-06-25,2026-06-25
Summer B 2026,Regular Registration ($100 late fee after 11:59 pm deadline),Registration,June 26,2026-06-26,2026-06-26
Summer B 2026,Classes Begin,Academic,June 29,2026-06-29,2026-06-29
Summer B 2026,Drop/Add (at or after assigned start time),Registration,"June 29, 30",2026-06-29,2026-06-30
Summer B 2026,Late Registration,Registration,"June 29, 30",2026-06-29,2026-06-30
Summer B 2026,Non-Degree Registration (at or after assigned start time),Registration,"June 29, 30",2026-06-29,2026-06-30
Summer B 2026,UF (EEP) and State Employee Registration,Registration,"June 29, 30",2026-06-29,2026-06-30
Summer B 2026,Withdrawal from All Courses with No Fee Liability,Financial,June 30,2026-06-30,2026-06-30
Summer B 2026,Degree Applications,Academic,July 1,2026-07-01,2026-07-01
Summer C 2026,Degree Applications,Academic,July 1,2026-07-01,2026-07-01
Summer B 2026,S/U Grade Option,Registration,July 8,2026-07-08,2026-07-08
Summer B 2026,Withdrawal with 25% Refund (W assigned to all Summer B courses.),Financial,July 8,2026-07-08,2026-07-08
