term,event,category,raw_date,date,end_date
Summer A 2026,Memorial Day,Holiday,May 25: Memorial Day,2026-05-25,2026-05-25
Summer C 2026,Memorial Day,Holiday,May 25: Memorial Day,2026-05-25,2026-05-25
Summer A 2026,Juneteenth,Holiday,June 19: Juneteenth,2026-06-19,2026-06-19
Summer C 2026,Juneteenth,Holiday,June 19: Juneteenth,2026-06-19,2026-06-19
Summer C 2026,Summer Break,Holiday,June 22 - 26: Summer Break,2026-06-22,2026-06-26
Summer B 2026,Independence Day (Observed),Holiday,July 3: Independence Day (Observed),2026-07-03,2026-07-03
Summer C 2026,Independence Day (observed),Holiday,July 3: Independence Day (observed),2026-07-03,2026-07-03
Fall 2026,Labor Day,Holiday,September 7: Labor Day,2026-09-07,2026-09-07
Fall 2026,Homecoming,Holiday,October 9 - 10: Homecoming,2026-10-09,2026-10-10
Fall 2026,Veterans Day,Holiday,November 11: Veterans Day,2026-11-11,2026-11-11
Fall 2026,Thanksgiving Break,Holiday,November 23 - 28: Thanksgiving Break,2026-11-23,2026-11-28
Fall 2026,University Closed,Holiday,December 25 - January 1,2026-12-25,2027-01-01
Spring 2027,"Martin Luther King, Jr. Day",Holiday,"January 18: Martin Luther King, Jr. Day",2027-01-18,2027-01-18
Spring 2027,Spring Break,Holiday,March 13 - 20: Spring Break,2027-03-13,2027-03-20
Summer A 2027,Memorial Day,Holiday,May 31: Memorial Day,2027-05-31,2027-05-31
Summer C 2027,Memorial Day,Holiday,May 31: Memorial Day,2027-05-31,2027-05-31
Summer A 2027,Holidays (no classes),Holiday,Juneteenth (Observed): June 18,2027-06-18,2027-06-18
Summer C 2027,Holidays (no classes),Holiday,Juneteenth (Observed): June 18,2027-06-18,2027-06-18
Summer C 2027,Holidays (no classes),Holiday,Summer Break: June 21 - 25,2027-06-21,2027-06-25
Summer B 2027,Independence Day (Observed),Holiday,July 5: Independence Day (Observed),2027-07-05,2027-07-05
Fall 2027,Labor Day,Holiday,September 6: Labor Day,2027-09-06,2027-09-06
Fall 2027,Veterans Day,Holiday,November 11: Veterans Day,2027-11-11,2027-11-11
Fall 2027,Thanksgiving Break,Holiday,November 22 - 27: Thanksgiving Break,2027-11-22,2027-11-27
Fall 2027,University Closed,Holiday,December 25 - January 2,2027-12-25,2028-01-02
Spring 2028,"Martin Luther King, Jr. Day",Holiday,"January 17: Martin Luther King, Jr. Day",2028-01-17,2028-01-17
Summer A 2028,Memorial Day,Holiday,May 29: Memorial Day,2028-05-29,2028-05-29
Summer C 2028,Memorial Day,Holiday,May 29: Memorial Day,2028-05-29,2028-05-29
Summer A 2028,Holidays (no classes),Holiday,Juneteenth: June 19,2028-06-19,2028-06-19
Summer C 2028,Holidays (no classes),Holiday,Juneteenth: June 19,2028-06-19,2028-06-19
Summer C 2028,Holidays (no classes),Holiday,Summer Break: June 19 - 23,2028-06-19,2028-06-23
