term,event,category,raw_date,date,end_date
Summer A 2026,Regular Registration ($100 late fee after 11:59 pm deadline),Registration,May 8,2026-05-08,2026-05-08
Summer C 2026,Regular Registration ($100 late fee after 11:59 pm deadline),Registration,May 8,2026-05-08,2026-05-08
Summer A 2026,Classes Begin,Academic,May 11,2026-05-11,2026-05-11
Summer C 2026,Classes Begin,Academic,May 11,2026-05-11,2026-05-11
Summer A 2026,Fee Payments (University Bursar),Financial,May 22 (3:30 pm),2026-05-22,2026-05-22
Summer C 2026,Fee Payments (University Bursar),Financial,May 22 (3:30 pm),2026-05-22,2026-05-22
Summer A 2026,Memorial Day,Holiday,May 25: Memorial Day,2026-05-25,2026-05-25
Summer C 2026,Memorial Day,Holiday,May 25: Memorial Day,2026-05-25,2026-05-25
Summer A 2026,Drop Deadline (W assigned to individual course(s). Drops of individual courses must be approved by the student's college.),Registration,June 12,2026-06-12,2026-06-12
Summer A 2026,Drop or Add a Course after the Drop Deadline (Students must petition their college with appropriate documentation for approval to drop or add.),Registration,June 13 - 18,2026-06-13,2026-06-18
Summer A 2026,Classes End,Academic,June 18,2026-06-18,2026-06-18
Summer A 2026,Juneteenth,Holiday,June 19: Juneteenth,2026-06-19,2026-06-19
Summer C 2026,Juneteenth,Holiday,June 19: Juneteenth,2026-06-19,2026-06-19
Summer C 2026,Summer Break,Holiday,June 22 - 26: Summer Break,2026-06-22,2026-06-26
Summer A 2026,"Final Grades Available (transcript view, on ONE.UF)",Academic,June 24,2026-06-24,2026-06-24
Summer B 2026,Regular Registration ($100 late fee after 11:59 pm deadline),Registration,June 26,2026-06-26,2026-06-26
Summer B 2026,Classes Begin,Academic,June 29,2026-06-29,2026-06-29
Summer B 2026,Independence Day (Observed),Holiday,July 3: Independence Day (Observed),2026-07-03,2026-07-03
Summer C 2026,Independence Day (observed),Holiday,July 3: Independence Day (observed),2026-07-03,2026-07-03
Summer B 2026,Fee Payments (University Bursar),Financial,July 10,2026-07-10,2026-07-10
Summer B 2026,Drop Deadline,Registration,July 31,2026-07-31,2026-07-31
Summer C 2026,Drop Deadline (W assigned to individual course(s). Drops of individual courses must be approved by the student's college.),Registration,July 31,2026-07-31,2026-07-31
Summer C 2026,Drop or Add a Course after the Drop Deadline (Students must petition their college with appropriate documentation for approval to drop or add.),Registration,August 3 - 7,2026-08-03,2026-08-07
Summer B 2026,Classes End,Academic,August 7,2026-08-07,2026-08-07
Summer B 2026,Commencement (Dates of graduate and professional school commencements can vary. Please refer to the official schedules. Dates/times of all ceremonies will be posted when officially scheduled.),Commencement,"August 7, 8",2026-08-07,2026-08-08
Summer C 2026,Classes End,Academic,August 7,2026-08-07,2026-08-07
