term,event,category,raw_date,date,end_date
Fall 2026,Advance Registration (at or after assigned start time),Registration,March 23 - August 18,2026-03-23,2026-08-18
Summer A 2026,Advanced Registration (at or after assigned start time),Registration,March 23 - May 7,2026-03-23,2026-05-07
Summer B 2026,Advance Registration (at or after assigned start time),Registration,March 23 - June 25,2026-03-23,2026-06-25
Summer C 2026,Advanced Registration (at or after assigned start time),Registration,March 23 - May 7,2026-03-23,2026-05-07
Summer A 2026,Regular Registration ($100 late fee after 11:59 pm deadline),Registration,May 8,2026-05-08,2026-05-08
Summer C 2026,Regular Registration ($100 late fee after 11:59 pm deadline),Registration,May 8,2026-05-08,2026-05-08
Summer A 2026,Drop/Add (at or after assigned start time),Registration,May 11 - May 12,2026-05-11,2026-05-12
Summer A 2026,Late Registration,Registration,May 11 - May 12,2026-05-11,2026-05-12
Summer A 2026,Non-Degree Registration (at or after assigned start time),Registration,May 11 - May 12,2026-05-11,2026-05-12
Summer A 2026,UF (EEP) and State Employee Registration,Registration,May 11 - May 12,2026-05-11,2026-05-12
Summer C 2026,Drop/Add (at or after assigned start time),Registration,May 11 - May 12,2026-05-11,2026-05-12
Summer C 2026,Late Registration,Registration,May 11 - May 12,2026-05-11,2026-05-12
Summer C 2026,Non-Degree Registration (at or after assigned start time),Registration,May 11 - May 12,2026-05-11,2026-05-12
Summer C 2026,UF (EEP) and State Employee Registration,Registration,May 11 - May 12,2026-05-11,2026-05-12
Summer A 2026,S/U Grade Option,Registration,May 20,2026-05-20,2026-05-20
Summer C 2026,S/U Grade Option,Registration,May 29,2026-05-29,2026-05-29
Summer A 2026,Drop Deadline (W assigned to individual course(s). Drops of individual courses must be approved by the student's college.),Registration,June 12,2026-06-12,2026-06-12
Summer A 2026,Drop or Add a Course after the Drop Deadline (Students must petition their college with appropriate documentation for approval to drop or add.),Registration,June 13 - 18,2026-06-13,2026-06-18
Summer B 2026,Regular Registration ($100 late fee after 11:59 pm deadline),Registration,June 26,2026-06-26,2026-06-26
Summer B 2026,Drop/Add (at or after assigned start time),Registration,"June 29, 30",2026-06-29,2026-06-30
Summer B 2026,Late Registration,Registration,"June 29, 30",2026-06-29,2026-06-30
Summer B 2026,Non-Degree Registration (at or after assigned start time),Registration,"June 29, 30",2026-06-29,2026-06-30
Summer B 2026,UF (EEP) and State Employee Registration,Registration,"June 29, 30",2026-06-29,2026-06-30
Summer B 2026,S/U Grade Option,Registration,July 8,2026-07-08,2026-07-08
Summer B 2026,Drop Deadline,Registration,July 31,2026-07-31,2026-07-31
Summer C 2026,Drop Deadline (W assigned to individual course(s). Drops of individual courses must be approved by the student's college.),Registration,July 31,2026-07-31,2026-07-31
Summer B 2026,Drop or Add a Course after the Drop/Withdrawal Deadline,Registration,August 1 - 7,2026-08-01,2026-08-07
Summer B 2026,Withdraw from all Courses after the Drop/Withdrawal Deadline,Registration,August 1 - 7,2026-08-01,2026-08-07
Summer C 2026,Drop or Add a Course after the Drop Deadline (Students must petition their college with appropriate documentation for approval to drop or add.),Registration,August 3 - 7,2026-08-03,2026-08-07
Fall 2026,Regular Registration ($100 late fee after 11:59 pm deadline),Registration,August 19,2026-08-19,2026-08-19
Fall 2026,Drop/Add (at or after assigned start time),Registration,"August 20, 21, 24 - 26",2026-08-20,2026-08-26
Fall 2026,Late Registration,Registration,"August 20, 21, 24 - 26",2026-08-20,2026-08-26
Fall 2026,UF (EEP) and State Employee Registration,Registration,"August 20, 21, 24 - 26",2026-08-20,2026-08-26
Fall 2026,Non-Degree Registration (at or after assigned start time),Registration,August 24 - 26,2026-08-24,2026-08-26
Fall 2026,S/U Grade Option,Registration,September 4,2026-09-04,2026-09-04
Spring 2027,Advance Registration (at or after assigned start time),Registration,October 26 - January 7,2026-10-26,2027-01-07
Fall 2026,Drop Deadline (W assigned to individual course(s). Drops of individual courses must be approved by the student's college.),Registration,November 16,2026-11-16,2026-11-16
Fall 2026,Drop or Add a Course after the Drop/Withdrawal Deadline (Students must petition their college with appropriate documentation for approval to drop or add.),Registration,November 17 - December 2,2026-11-17,2026-12-02
Fall 2026,Withdraw from All Fall Courses after the Drop/Withdrawal Deadline (Students must petition their college with appropriate documentation for approval to withdraw from all courses.),Registration,November 17 - December 2,2026-11-17,2026-12-02
Spring 2027,Regular Registration ($100 late fee after 11:59 pm deadline),Registration,January 8,2027-01-08,2027-01-08
Spring 2027,Drop/Add (at or after assigned start time),Registration,January 11 - 15,2027-01-11,2027-01-15
Spring 2027,Late Registration,Registration,January 11 - 15,2027-01-11,2027-01-15
Spring 2027,UF (EEP) and State Employee Registration,Registration,January 11 - 15,2027-01-11,2027-01-15
Spring 2027,Non-Degree Registration (at or after assigned start time),Registration,January 13 - 15,2027-01-13,2027-01-15
Spring 2027,S/U Grade Option,Registration,January 29,2027-01-29,2027-01-29
